Date,MSFT_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,332,220.93,214.6,213.22,228.28,81927727
2020-08-04,21990,219.45,215.01,210.73,223.9,49478522
2020-08-05,13943,218.02,219.1,217.75,219.1,29203685
2020-08-10,58913,210.4,221.12,208.75,221.34,38324998
2020-08-11,26771,208.97,209.22,208.97,214.77,36707314
2020-08-12,9051,210.04,209.48,209.48,218.09,28203973
2020-08-13,50,214.4,219.17,214.4,219.17,23177726
2020-08-14,5,213.4,217.37,213.4,217.37,18725374
2020-08-19,3098,215.8,213.64,212.65,215.8,27802590
2020-08-20,13106,224.15,219.8,216.17,224.15,28104927
2020-08-21,570,221.16,224.06,215.45,224.06,37658048
2020-08-24,1220,221.09,216.18,216.18,221.09,26550859
2020-08-25,14131,222.5,220.8,218.2,222.5,24014067
2020-08-27,904,236.89,223.19,223.19,236.89,59810278
2020-08-28,679,231.73,229.5,229.5,236.43,26504827
2020-09-01,132042,233.14,227.3,227.3,235.08,26848863
2020-09-04,6174,215.76,215.4,211.14,221.598,59803539
2020-09-08,10196,210.34,207.4,207.4,217.03,53067753
2020-09-09,104250,215.44,212.0,211.5,223.506,47711144
2020-09-15,1242,213.74,209.78,209.78,213.74,22120715
2020-09-16,98,214.25,220.83,207.36,220.83,27262945
2020-09-18,200,209.69,208.1,196.31,213.76,57586597
2020-09-21,3046,204.56,205.49,198.53,207.92,40452221
2020-09-22,36677,212.6,210.96,207.936,212.6,34274292
2020-09-28,9159,216.87,218.77,212.43,218.77,32358661
2020-09-29,8400,212.63,211.13,211.13,220.48,25480413
2020-10-01,192,215.0,214.34,212.26,219.87,27395501
2020-10-05,4107,217.36,207.44,207.44,217.36,21507417
2020-10-07,25753,215.45,209.57,207.41,219.35,26688335
2020-10-13,3293,229.54,224.33,224.33,232.56,29998710
2020-10-14,26171,224.48,226.0,224.48,226.72,24170682
2020-10-15,1012,219.75,227.8,219.75,227.8,23240010
2020-10-19,1547,223.48,228.469,217.26,228.9,28741883
2020-10-20,27151,223.22,219.7,215.8571,224.67,23822504
2020-10-22,215388,220.69,223.15,219.9,226.081,22796791
2020-10-28,1094,208.87,208.35,208.3,215.21,52369691
2020-10-29,4684,209.77,207.37,207.11,216.99,32841194
2020-10-30,75370,203.1,203.9,203.1,213.02,38389610
2020-11-04,1150,217.71,215.26,215.0539,221.94,43873717
2020-11-05,4226,228.07,226.47,221.8,234.61,36450707
2020-11-06,1320,233.0,227.88,227.43,233.0,26074688
2020-11-09,502,222.51,228.245,222.51,237.15,45729986
2020-11-10,30901,218.34,218.6,217.93,219.1,45694430
2020-11-17,107,222.01,220.0,220.0,225.21,24211168
2020-11-18,12234,219.17,221.88,219.17,221.88,29433777
2020-11-19,3500,219.57,211.73,211.73,220.85,25794265
2020-11-20,1022,211.34,212.6,211.34,215.091,23300211
2020-11-23,462,216.3,215.63,215.63,219.26,26501623
2020-11-24,1,220.4,210.14,210.14,220.4,34493642
2020-11-25,101416,222.47,218.61,214.11,222.47,21800726
2020-12-01,5600,219.16,216.17,213.66,226.68,31465105
2020-12-04,66146,215.57,218.46,215.57,219.67,25838595
2020-12-07,44613,222.65,215.18,215.18,223.88,24652255
2020-12-08,12988,218.63,220.49,217.51,223.11,24390381
2020-12-10,4552,214.85,214.75,214.08,218.55,27701553
2020-12-11,3324,222.21,220.02,213.95,223.67,31404258
2020-12-14,25220,222.6,220.3,216.14,222.6,29696235
2020-12-15,10472,222.24,222.905,216.81,223.57,28125755
2020-12-17,158,225.18,226.35,225.18,227.05,33649215
2020-12-18,9949,223.43,221.37,217.85,224.52,63361835
2020-12-22,101,228.38,224.7,224.7,228.98,22716934
2020-12-23,16192,227.82,231.34,223.8,231.34,18939149
2020-12-28,60508,234.46,225.75,225.75,234.46,18401958
2020-12-29,2759,225.61,235.28,224.8,238.33,18001298
2020-12-30,21250,231.81,227.6,227.6,234.19,20724978
2021-01-04,60,223.32,230.26,223.32,232.0,37434873
2021-01-05,561,228.5,224.01,222.7,228.5,24903318
2021-01-06,19744,215.37,216.64,215.37,224.8856,37228507
2021-01-07,208844,229.1,221.62,221.62,229.1,27883683
2021-01-08,1349,224.36,225.11,217.5044,229.22,22973287
2021-01-11,1175,226.14,226.29,226.14,227.19,23635253
2021-01-14,258,222.56,218.9,218.9,223.5,29695464
2021-01-15,1013,223.03,222.6,220.83,223.03,32197485
2021-01-20,34126,228.79,223.1,223.1,236.87,38926626
2021-01-21,22010,231.26,231.2,224.87,231.8,31679687
2021-01-22,15000,226.98,235.78,226.98,235.78,31069958
2021-01-26,4559,242.9,236.19,236.19,242.9,50179332
2021-01-27,22255,243.4,246.0,241.16,247.83,71125648
2021-01-28,258074,246.38,243.37,240.85,251.07,50986675
2021-01-29,134211,233.49,246.53,233.49,246.53,43290553
2021-02-01,433,240.32,244.92,235.44,252.5,33985508
2021-02-02,4900,250.72,249.9,249.12,250.72,26638770
2021-02-03,10813,252.0,239.6,239.6,252.0,27269881
2021-02-05,2070,252.2,250.26,245.02,252.2,18057742
2021-02-09,7000,246.65,252.47,246.65,252.47,23633539
2021-02-10,95,248.7,252.0,248.7,252.0,22842657
2021-02-11,5040,256.48,253.24,248.28,256.89,16441644
2021-02-12,4814,253.78,254.6711,246.72,254.6711,17231408
2021-02-17,4400,245.8,248.34,244.05,254.65,22146794
2021-02-18,12574,252.11,241.8,241.69,255.83,17008481
2021-02-19,350,250.41,245.06,245.06,255.87,25626270
2021-02-22,456,242.22,242.86,242.22,244.34,37717655
2021-02-23,1147,244.66,237.937,234.82,244.66,31576481
2021-02-24,797,241.6,234.64,234.0,241.6,27636882
2021-02-25,798,236.77,239.36,228.71,244.0231,41515318
2021-02-26,799,239.07,241.405,235.38,241.57,39184375
2021-03-01,2200,237.7,246.8,235.09,248.92,25982580
2021-03-02,2312,243.22,243.37,238.82,245.2,23499277
2021-03-03,800,230.86,234.379,230.86,237.9816,35355742
2021-03-04,911,230.84,233.872,229.51,243.94,46662150
2021-03-05,4956,235.4,229.6669,227.81,240.7,43292348
2021-03-09,9189,238.04,243.09,233.18,243.09,33182179
2021-03-10,741,233.43,240.0,233.43,243.0,31033486
2021-03-16,713,241.73,246.42,241.73,246.42,28611986
2021-03-18,4098,231.94,236.37,231.94,240.86,35896138
2021-03-19,905,235.11,242.57,235.11,242.57,48580720
2021-03-26,8604,244.39,237.9,237.9,248.03,25575079
2021-03-29,8897,237.29,239.55,237.29,242.15,26240959
2021-03-31,35961,236.57,242.92,236.57,249.9,45609880
2021-04-01,19821,246.89,246.71,239.1527,246.89,30813028
2021-04-05,78057,256.42,247.41,247.41,257.72,38738386
2021-04-06,6551,257.74,258.71,250.91,258.71,23034182
2021-04-07,299695,253.0,257.69,250.29,257.69,23487106
2021-04-08,13981,257.23,263.8,257.23,263.8,24324374
2021-04-09,7162,268.38,261.69,260.99,268.38,25396701
2021-04-12,45043,267.66,257.18,255.54,267.66,27607177
2021-04-13,17795,267.67,266.3768,260.4,269.01,24654662
2021-04-14,15,267.28,265.205,262.2,271.37,23339009
2021-04-19,10515,262.71,263.63,262.71,270.69,23594249
2021-04-20,5002,261.2,263.9,261.2,269.23,20532674
2021-04-22,2092,265.34,262.62,258.33,274.41,26807860
2021-04-23,35607,268.83,265.78,265.16,268.83,21730588
2021-04-26,72,274.49,273.39,271.28,274.49,19921403
2021-04-27,38681,273.7,262.165,262.165,276.31,31822545
2021-05-03,103087,259.1,265.2,259.1,265.2,20409811
2021-05-12,23614,247.0,245.737,245.737,255.19,36898377
2021-05-17,23136,245.25,254.11,244.83,254.56,25979618
2021-05-18,20271,251.02,249.55,249.55,253.24,20854487
2021-05-19,7491,243.19,244.58,243.19,248.59,26477030
2021-05-24,10725,255.17,248.163,248.163,257.51,21428102
2021-05-26,2240,261.16,262.77,251.28,262.77,18541364
2021-05-28,29,249.78,255.632,249.78,262.63,18901426
2021-06-01,4646,249.9,255.21,249.9,256.33,23656142
2021-06-02,90,252.3,251.991,250.18,254.12,19410704
2021-06-03,10153,256.57,249.67,249.67,257.23,26123096
2021-06-04,5150,252.37,258.48,252.37,258.48,25573235
2021-06-07,27046,263.63,254.2,254.2,263.63,23684517
2021-06-08,300,256.15,257.15,256.15,265.96,23552763
2021-06-09,24,253.9,254.0,253.9,261.6,18786352
2021-06-10,4000,264.84,258.81,258.81,264.84,24708882
2021-06-11,137,268.77,269.36,257.94,269.36,19431069
2021-06-14,12968,272.36,269.1,257.5,272.36,19668403
2021-06-15,14675,263.23,271.41,263.23,271.41,18042819
2021-06-16,2327,260.99,261.1,257.17,266.92,27830874
2021-06-17,100,262.1,268.076,262.1,273.23,28393111
2021-06-22,9172,272.7,266.3,266.3,278.44,24958215
2021-06-23,7286,269.972,278.36,264.54,278.36,20330662
2021-06-24,801,270.8,267.17,267.17,275.99,22201050
2021-06-28,282,272.34,272.244,272.244,276.2,20105818
2021-06-30,2000,283.9,278.09,278.09,283.9,22376975
2021-07-02,596,288.67,279.6,276.9,292.0,26980606
2021-07-06,296,289.56,289.05,283.1,289.56,32797035
2021-07-07,12164,287.28,280.4,280.4,289.98,24164579
2021-07-08,53536,287.22,278.0,278.0,287.22,25607328
2021-07-09,1440,287.14,287.57,280.7,287.57,24283729
2021-07-12,10,277.69,284.545,277.69,285.71,19236454
2021-07-13,1246,282.77,291.28,282.77,291.28,26842486
2021-07-15,10923,292.94,288.0,283.13,292.94,23156194
2021-07-16,63,294.54,292.05,288.82,294.54,26980061
2021-07-20,371272,289.57,279.85,279.85,292.67,27050397
2021-07-21,1589,293.4,292.503,288.2,293.4,25548124
2021-07-22,20919,298.41,288.83,288.83,298.41,24170293
2021-07-27,7281,295.62,298.31,294.71,298.31,33629524
2021-07-28,23037,288.48,294.7,288.48,296.21,34825236
2021-08-02,115,287.56,291.31,287.56,296.22,16429304
2021-08-05,146561,299.23,300.01,298.9,300.01,13949495
2021-08-09,125469,301.61,295.71,289.29,301.61,16328432
2021-08-10,2346,299.4,295.4,288.7,303.06,18999814
2021-08-11,169,297.64,292.39,291.86,297.64,14626469
2021-08-17,24200,301.92,298.08,298.08,301.92,20688333
2021-08-18,519,297.03,302.6,297.03,302.6,22355229
2021-08-19,21450,308.64,293.1071,291.5,309.48,31000969
2021-08-24,1964,304.84,315.58,304.84,315.7796,18366220
2021-08-30,246,311.95,306.595,306.595,315.24,17027033
2021-08-31,69,304.42,317.81,304.42,317.81,26498134
2021-09-08,900,302.24,306.67,302.24,309.91,15096828
2021-09-09,4494,311.48,311.79,308.0,315.12,20533753
2021-09-10,15835,304.19,307.605,298.4,307.605,20033646
