Date,NOK_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,3603120,5.22,5.07,4.9678,5.25,64795495
2020-08-04,389707,5.2,5.29,5.06,5.29,44351454
2020-08-05,1155806,5.0,5.26,5.0,5.26,36512776
2020-08-06,963188,5.0,5.08,5.0,5.1,30745325
2020-08-07,6985,5.17,5.0,4.99,5.17,22283972
2020-08-11,80587,5.17,5.19,4.97,5.19,40415086
2020-08-13,16187,5.2,5.15,5.0,5.2,22079401
2020-08-14,55030,5.0,5.17,5.0,5.2,19199250
2020-08-17,11795,5.08,5.07,5.06,5.31,25065342
2020-08-18,567058,5.13,5.26,5.13,5.26,18941247
2020-08-19,32458,5.26,5.3,5.103,5.3,20486697
2020-08-20,20443,5.24,5.13,5.04,5.24,15761478
2020-08-21,17912,5.09,5.1,4.99,5.1,15206113
2020-08-24,22586,5.22,5.103,5.0,5.22,12669938
2020-08-25,441340,5.28,5.25,5.0,5.281,14211797
2020-08-26,68576,5.13,5.08,5.08,5.27,19943362
2020-08-27,45,5.09,5.08,5.08,5.16,25848093
2020-08-28,129429,5.08,5.18,5.08,5.18,21291220
2020-09-02,69966,4.91,4.88,4.7,4.91,33456523
2020-09-03,5080,4.71,4.84,4.49,4.84,66145111
2020-09-08,8560,4.2,4.27,4.1,4.33,69886215
2020-09-09,99991,4.14,4.23,4.14,4.31,48405578
2020-09-10,414624,4.1,4.2,4.1,4.28,35848274
2020-09-11,35184,4.3,4.24,4.1,4.3,27914303
2020-09-14,245410,4.26,4.32,4.15,4.32,22225374
2020-09-15,15544,4.29,4.2,4.2,4.29,24333427
2020-09-17,100000,4.28,4.14,4.14,4.28,29347035
2020-09-18,10570,4.17,4.1,4.1,4.18,20376491
2020-09-21,31746,4.03,3.97,3.97,4.07,30490649
2020-09-22,31534,4.04,3.99,3.99,4.05,15899308
2020-09-23,6229,3.89,4.14,3.89,4.14,19563874
2020-09-25,6907,3.87,3.939,3.76,3.98,34102766
2020-09-28,16229,4.0,3.95,3.85,4.02,28976518
2020-09-29,10396,4.07,4.13,4.07,4.14,25566936
2020-09-30,558973,4.02,4.085,4.0,4.085,25854196
2020-10-05,23402,4.02,4.06,3.95,4.16,15870068
2020-10-06,783,3.91,4.0,3.91,4.04,24507872
2020-10-07,6979,4.0,3.9,3.9,4.0,15286415
2020-10-08,253027,4.05,4.0,3.94,4.09,19680558
2020-10-09,300408,4.04,4.14,4.04,4.28,36226437
2020-10-13,138446,4.2,4.09,4.09,4.2,20619134
2020-10-14,523312,4.16,4.15,4.13,4.3,21586208
2020-10-15,268262,4.07,4.171,4.07,4.171,16098571
2020-10-19,432741,4.23,4.3,4.23,4.3,37374276
2020-10-20,116370,4.2,4.4,4.18,4.4,40775000
2020-10-21,236762,4.47,4.46,4.42,4.47,43222139
2020-10-22,78136,4.46,4.5,4.28,4.5,34024162
2020-10-23,1812296,4.4,4.45,4.32,4.45,16615244
2020-10-26,570782,4.32,4.4,4.32,4.51,35006981
2020-10-27,359,4.45,4.31,4.31,4.45,24535242
2020-10-28,129060,4.11,4.2,4.0,4.2,48318297
2020-10-29,940540,3.51,3.52,3.35,3.57,149444420
2020-10-30,3560197,3.37,3.52,3.34,3.52,67400294
2020-11-02,1741052,3.41,3.38,3.28,3.44,42859835
2020-11-03,1537306,3.46,3.43,3.4,3.62,52481024
2020-11-04,1388018,3.5,3.57,3.499,3.57,38410161
2020-11-05,26046,3.68,3.62,3.6,3.79,44875787
2020-11-06,146140,3.68,3.52,3.5,3.69,29524226
2020-11-09,2820240,3.76,3.8,3.65,3.8,51988605
2020-11-10,2349606,3.78,3.91,3.72,3.91,37540299
2020-11-12,1103543,3.76,3.78,3.76,3.88,47056790
2020-11-13,63606,3.89,3.78,3.78,4.02,47594550
2020-11-16,1851865,4.0,3.88,3.88,4.02,38491004
2020-11-17,54296,3.98,3.97,3.9,4.02,27938060
2020-11-18,655746,4.06,4.0,4.0,4.06,29237017
2020-11-19,477280,4.05,3.95,3.95,4.07,32103886
2020-11-20,1134012,4.02,4.0,3.9,4.02,29399830
2020-11-23,361764,4.02,4.02,4.02,4.1,33277212
2020-11-24,744522,4.25,4.07,4.07,4.25,26458413
2020-11-25,273105,4.23,4.29,4.23,4.29,17826880
2020-11-30,216789,4.1,4.28,4.1,4.31,21566400
2020-12-01,105549,4.26,4.07,4.07,4.26,20963367
2020-12-02,36991,4.09,4.03,4.03,4.2,24763545
2020-12-03,82130,4.2,4.15,4.15,4.22,19647830
2020-12-04,301166,4.08,4.11,4.02,4.11,19776193
2020-12-07,387373,4.11,4.23,4.11,4.23,22261079
2020-12-08,373790,4.39,4.2,4.2,4.39,36576149
2020-12-09,75132,4.29,4.4,4.22,4.4,32378519
2020-12-10,194820,4.3,4.21,4.21,4.3,28009545
2020-12-11,419839,4.25,4.09,4.0,4.3,34864882
2020-12-14,240161,4.0,4.19,4.0,4.19,21450207
2020-12-15,609570,4.2,4.13,4.04,4.21,19303060
2020-12-16,1464022,4.14,4.03,4.03,4.16,20565785
2020-12-17,1110,4.23,4.14,4.03,4.2573,26858740
2020-12-21,63883,4.0,4.05,3.87,4.05,26763458
2020-12-22,57648,4.03,3.99,3.96,4.03,25303604
2020-12-24,163505,4.07,4.0,3.93,4.1,7551457
2020-12-28,34961,4.0,3.9,3.9,4.02,19274526
2020-12-30,338628,4.03,4.12,3.91,4.12,17988603
2020-12-31,215692,3.97,3.95,3.89,4.08,17446849
2021-01-04,90467,4.03,4.06,4.01,4.09,30588988
2021-01-05,60457,4.13,3.99,3.97,4.15,39223811
2021-01-06,2069355,4.11,4.13,4.11,4.18,39238856
2021-01-07,123465,4.09,4.04,4.0,4.2,25345103
2021-01-08,82393,4.05,3.95,3.9,4.05,25094138
2021-01-12,77887,4.08,4.05,4.05,4.12,27062524
2021-01-13,753729,4.15,3.96,3.96,4.18,34900228
2021-01-14,137856,4.1,4.24,4.1,4.41,94968945
2021-01-15,140756,4.12,4.15,4.12,4.19,38289484
2021-01-19,5876192,4.14,4.18,4.14,4.3,42003386
2021-01-20,3744102,4.3,4.24,4.24,4.34,44435242
2021-01-21,669116,4.31,4.19,4.19,4.4,23111553
2021-01-22,8812,4.4,4.23,4.21,4.4,30563253
2021-01-25,265402,5.02,4.72,4.62,5.136,305014379
2021-01-26,255305,4.87,5.16,4.7,5.28,388810511
2021-01-27,5295137,6.75,5.01,5.01,10.11,1193879059
2021-01-28,1434473,4.77,5.3,4.72,5.69,705670779
2021-01-29,31510319,4.66,5.28,4.66,5.28,377656166
2021-02-01,15058422,4.97,5.1,4.67,5.1,203518941
2021-02-02,223584,4.56,4.86,4.4,4.97,170766908
2021-02-03,792488,4.8,4.83,4.69,4.9583,97744219
2021-02-04,791260,4.53,4.61,4.3,4.61,151770535
2021-02-05,553791,4.3,4.47,4.3,4.47,111110855
2021-02-09,36902,4.24,4.43,4.22,4.46,84868271
2021-02-10,19259,4.2,4.27,4.2,4.39,80295338
2021-02-11,300,4.2,4.34,4.11,4.36,63302145
2021-02-12,96541,4.18,4.15,4.14,4.334,52945400
2021-02-16,3961,4.14,4.38,4.1,4.38,44013741
2021-02-17,10700,4.19,4.2,4.19,4.25,50569973
2021-02-23,15,4.04,4.1,3.88,4.1,69394226
2021-02-24,64538,4.09,4.04,4.04,4.3,79998680
2021-02-25,182853,4.23,4.35,4.14,4.52,125942408
2021-03-01,243573,4.18,4.08,4.08,4.2358,42722931
2021-03-02,8229,4.09,4.16,4.0,4.16,29369715
2021-03-03,23904,4.15,4.0,4.0,4.15,42383787
2021-03-04,48270,3.91,4.09,3.87,4.09,77888366
2021-03-05,206719,3.93,3.89,3.86,3.93,63136316
2021-03-09,53537,4.06,4.04,4.0,4.06,30015042
2021-03-10,226602,4.06,4.07,4.04,4.2,48840992
2021-03-11,56795,4.3,4.15,4.15,4.3,48743850
2021-03-15,475010,4.4,4.48,4.37,4.57,61638532
2021-03-16,317049,4.26,4.35,4.24,4.55,37075100
2021-03-19,127390,4.19,4.08,4.08,4.19,49226288
2021-03-26,1433,4.07,4.15,4.07,4.26,35502451
2021-04-01,471,4.0,4.0,4.0,4.2,25171013
2021-04-06,40589,4.0,4.06,4.0,4.09,25350790
2021-04-09,10,4.32,4.23,4.1,4.32,47193468
2021-04-13,407621,4.29,4.18,4.16,4.29,24109688
2021-04-16,60890,4.23,4.21,4.2,4.25,23115093
2021-04-22,17691,4.35,4.2,4.2,4.35,31274558
2021-04-23,1101,4.3,4.28,4.28,4.31,24831304
2021-04-26,6560,4.4,4.35,4.35,4.4,34681069
2021-04-30,200,4.84,4.94,4.81,4.94,70212405
2021-05-03,238983,5.0,4.81,4.81,5.0,75587152
2021-05-04,38389,4.8,4.9,4.62,4.99,54503538
2021-05-06,156,4.91,4.8,4.8,5.07,37841475
2021-05-07,100841,5.3,5.23,5.21,5.3,78995962
2021-05-10,418,5.2,5.37,5.12,5.37,57376218
2021-05-11,32656,4.95,4.87,4.83,4.99,49734423
2021-05-17,11796,4.93,5.02,4.872,5.02,22692311
2021-05-18,60148,5.03,5.03,5.03,5.09,44051633
2021-05-19,4455,5.15,4.9,4.9,5.15,28642082
2021-05-20,1948247,5.24,5.13,5.1,5.34,49643734
2021-05-21,306,5.12,5.29,5.12,5.36,39715566
2021-05-24,99944,5.06,5.11,5.0,5.25,21064194
2021-05-25,304223,5.0,5.13,5.0,5.15,27441493
2021-05-27,27690,5.18,5.16,5.16,5.3,54570158
2021-05-28,759,5.26,5.3,5.26,5.44,70502311
2021-06-02,1003,5.66,5.51,5.31,5.66,126888072
2021-06-03,40156,5.55,5.9,5.55,5.9,103743401
2021-06-08,165360,5.84,5.67,5.57,5.84,49556266
2021-06-09,855,5.71,5.65,5.63,5.87,47499669
2021-06-14,65394,5.69,5.5,5.5,5.69,18867603
2021-06-15,407745,5.54,5.56,5.39,5.6997,29187013
2021-06-17,24933,5.26,5.28,5.26,5.42,22543716
2021-06-22,25821,5.24,5.26,5.24,5.26,20977578
2021-06-30,126811,5.46,5.48,5.46,5.53,23909298
2021-07-02,987428,5.41,5.48,5.41,5.6,17070132
2021-07-06,352555,5.66,5.52,5.35,5.7,23397369
2021-07-07,500,5.63,5.52,5.44,5.65,23505326
2021-07-09,16208,5.67,5.61,5.49,5.67,17471565
2021-07-12,100490,5.38,5.5,5.38,5.5,17580777
2021-07-16,154160,5.88,5.76,5.74,5.88,25678484
2021-07-19,66,5.8,5.89,5.59,5.89,37519591
2021-07-20,12280,6.07,5.75,5.75,6.07,34766611
2021-07-22,42666,5.85,5.87,5.85,5.89,20723201
2021-07-23,1185910,5.97,5.84,5.84,6.08,16518290
2021-07-27,10639,6.0,5.88,5.88,6.03,28804532
2021-07-29,147297,6.19,6.15,6.15,6.31,72544102
2021-08-02,6134,6.41,6.28,6.21,6.41,36172503
2021-08-03,43641,6.49,6.49,6.38,6.56,32621665
2021-08-06,800,6.2,6.44,6.17,6.44,20703762
2021-08-10,1791,6.08,6.3,6.08,6.37,19262374
2021-08-13,26478,6.39,6.13,6.13,6.39,14196270
2021-08-17,23931,6.06,6.18,6.06,6.31,22469394
2021-08-19,1512,5.99,6.11,5.87,6.11,25245329
2021-08-20,584,6.0,5.95,5.87,6.13,12739884
2021-08-23,740,6.05,6.14,5.97,6.15,18411288
2021-08-24,94613,6.12,6.14,6.02,6.15,17613384
2021-08-27,3022,6.16,6.06,6.06,6.23,14743223
2021-08-31,2547,6.0,6.23,6.0,6.23,17671193
2021-09-02,402,6.16,6.3,6.13,6.3,14367865
2021-09-08,26587,6.06,6.2,6.06,6.2,15399884
2021-09-09,166775,5.98,6.15,5.98,6.15,17353493
2021-09-10,1167,6.09,5.96,5.89,6.1,24085297
2021-09-14,13826,6.03,6.09,5.783,6.09,17196063
