,Symbols,DaysAbove1pct,FloatShares,TotalFTDsPastYear,pct_float_Total_FTD_ytd
0,GME,37,56411716,55465688,98.32299375541066
1,AMC,7,448564672,277004450,61.75351455230073
2,BB,0,510854889,32895332,6.439271250666254
3,NOK,0,4641440059,112441625,2.42255902415393
4,TSLA,0,775057145,10201621,1.3162411398710478
5,SHOP,0,112958323,603560,0.5343209636708223
6,QSR,0,278649187,5256245,1.8863306426944644
7,SPCE,3,181389464,36960919,20.376552300744436
8,AAPL,0,16513139929,21670257,0.13123038436768278
9,MSFT,0,7506925463,3465817,0.04616826178816157
10,JPM,0,2961979114,3003724,0.10140935787840939
11,GS,0,320245585,954157,0.29794540336910497
