Date,AAPL_QUANTITY_FAILS
2020-08-03,35063
2020-08-04,29602
2020-08-05,7795
2020-08-07,7792
2020-08-10,65455
2020-08-12,17858
2020-08-13,50
2020-08-14,10306
2020-08-17,589
2020-08-19,1466
2020-08-20,8238
2020-08-25,23
2020-08-26,25531
2020-08-28,8747
2020-08-31,3494
2020-09-01,279593
2020-09-02,592906
2020-09-03,12927
2020-09-04,3086
2020-09-08,78
2020-09-09,11827
2020-09-11,24794
2020-09-14,2244
2020-09-15,432
2020-09-17,2537
2020-09-18,8464
2020-09-21,1025
2020-09-22,42134
2020-09-23,22397
2020-09-24,26
2020-09-28,544556
2020-09-29,26700
2020-10-02,4916
2020-10-06,7752
2020-10-08,108579
2020-10-09,6552
2020-10-14,14900
2020-09-28,544556
2020-09-29,26700
2020-10-19,2500
2020-10-20,99020
2020-10-21,62233
2020-10-22,1878
2020-10-23,164804
2020-10-27,5330
2020-10-28,312
2020-10-29,288
2020-10-30,69960
2020-11-03,83
2020-11-04,25781
2020-11-09,38051
2020-11-10,58828
2020-11-12,17442
2020-11-13,111469
2020-10-29,288
2020-10-30,69960
2020-11-16,10432
2020-11-17,6000
2020-11-18,53664
2020-11-19,17099
2020-11-20,20
2020-11-23,2001
2020-11-24,24816
2020-11-27,900
2020-10-30,69960
2020-12-01,2927
2020-12-02,37189
2020-12-03,553
2020-12-04,29603
2020-12-08,33652
2020-12-09,1
2020-12-10,49954
2020-12-11,59862
2020-12-21,770
2020-12-22,31100
2020-12-23,1467
2020-12-29,2743012
2020-12-30,116518
2020-12-31,357
2021-01-04,5930
2021-01-05,95768
2021-01-07,272530
2021-01-08,1750
2021-01-12,15318
2021-01-14,2917
2020-12-29,2743012
2020-12-30,116518
2020-12-31,357
2021-01-15,6383
2021-01-19,3554
2021-01-20,197765
2021-01-21,61833
2021-01-22,10805
2021-01-25,84643
2021-01-26,115264
2021-01-28,2283
2021-01-29,8890
2020-12-30,116518
2020-12-31,357
2021-02-01,288
2021-02-03,84829
2021-02-04,167887
2021-02-05,42323
2021-02-08,13600
2021-02-09,5200
2021-02-10,634
2021-02-11,266475
2021-02-12,18754
2020-12-31,357
2021-02-16,15101
2021-02-17,48662
2021-02-18,7737
2021-02-22,400
2021-02-23,570
2021-02-25,46119
2021-02-26,2544
2020-12-31,357
2021-03-02,4400
2021-03-03,6756
2021-03-04,27192
2021-03-05,33319
2021-03-08,58198
2021-03-09,100
2021-03-11,44046
2021-03-12,1798
2020-12-31,357
2021-03-17,47220
2021-03-18,484
2021-03-22,30
2021-03-23,150739
2021-03-24,41239
2021-03-25,6822
2021-03-26,5
2021-03-29,10996
2021-03-30,95
2021-04-01,255
2021-04-05,285
2021-04-06,101
2021-04-07,16752
2021-04-08,18092
2021-04-12,4724
2021-04-13,82022
2021-04-15,211378
2021-04-19,40072
2021-04-20,69436
2021-04-22,400055
2021-04-23,208
2021-04-26,1975
2021-04-27,454653
2021-04-28,54554
2021-04-29,3232
2021-04-30,37082
2021-05-05,35
2021-05-10,16750
2021-05-11,400
2021-05-12,1500
2021-04-30,37082
2021-05-20,1843
2021-05-21,12248
2021-05-25,150
2021-05-26,39726
2021-05-27,1
2021-05-28,62
2021-04-30,37082
2021-06-08,19070
2021-06-10,100
2021-06-11,433422
2021-06-14,2728
2021-06-15,15706
2021-06-16,1097558
2021-06-17,1085441
2021-06-18,918
2021-06-21,496144
2021-06-22,8783
2021-06-23,3595
2021-06-24,41151
2021-06-25,50810
2021-06-28,3768
2021-06-29,1092967
2021-06-30,1091781
2021-07-01,406167
2021-07-02,53022
2021-07-06,96072
2021-07-07,108847
2021-07-08,108583
2021-07-09,402280
2021-07-12,1655
2021-07-13,187752
2021-06-28,3768
2021-06-29,1092967
2021-06-30,1091781
2021-07-15,9959
2021-07-16,5701
2021-07-19,58578
2021-07-20,3978162
2021-07-21,34754
2021-07-23,473
2021-07-26,540
2021-07-27,27112
2021-07-28,5848
2021-07-29,80
2021-07-30,456
2021-08-02,15
2021-08-03,13632
2021-08-04,1481
2021-08-05,7724
2021-08-06,7045
2021-08-09,511878
2021-08-10,2295
2021-08-11,146
2021-08-13,5834
2021-07-29,80
2021-07-30,456
2021-08-16,635249
2021-08-17,18996
2021-08-18,6726
2021-08-20,8807
2021-08-23,47359
2021-08-24,1122401
2021-08-25,44967
2021-08-26,11800
2021-08-27,869
2021-08-30,6834
2021-08-31,5000
