Date,TSLA_QUANTITY_FAILS
2020-09-01,18837
2020-09-02,1240984
2020-09-03,639
2020-09-04,169
2020-09-08,2691
2020-09-09,12515
2020-09-10,19968
2020-09-11,47368
2020-09-14,263338
2020-09-15,73578
2020-09-16,21503
2020-09-18,491
2020-09-21,113311
2020-09-22,5595
2020-09-24,10197
2020-09-25,3112
2020-09-28,13477
2020-09-29,119336
2020-09-30,373
2020-10-01,2207
2020-10-02,13296
2020-10-05,6702
2020-10-07,2753
2020-10-08,2318
2020-10-09,4407
2020-10-13,147212
2020-10-14,7711
2020-09-28,13477
2020-09-29,119336
2020-09-30,373
2020-10-15,10615
2020-10-16,3579
2020-10-20,107235
2020-10-21,5403
2020-10-27,87745
2020-10-29,246015
2020-10-30,5662
2020-11-02,243436
2020-11-03,6169
2020-11-04,529833
2020-11-05,24832
2020-11-09,16773
2020-11-10,12671
2020-11-12,135159
2020-10-29,246015
2020-10-30,5662
2020-11-16,2
2020-11-18,87048
2020-11-19,13385
2020-11-20,33151
2020-11-23,11197
2020-11-24,14021
2020-11-25,1682
2020-11-27,97
2020-11-30,1800
2020-10-29,246015
2020-10-30,5662
2020-12-02,2806
2020-12-03,461
2020-12-04,351131
2020-12-07,271
2020-12-08,5900
2020-12-09,751
2020-12-11,6223
2020-12-15,100
2020-12-16,5505
2020-12-17,1382452
2020-12-18,8057
2020-12-21,7741
2020-12-22,395748
2020-12-23,20628
2020-12-24,4479
2020-12-28,93808
2020-12-29,6854
2020-12-30,2279
2020-12-31,44113
2021-01-04,7111
2021-01-05,77616
2021-01-06,12282
2021-01-07,1951
2021-01-08,2682
2021-01-11,102030
2021-01-12,22211
2021-01-13,25242
2021-01-14,25886
2020-12-28,93808
2020-12-29,6854
2020-12-30,2279
2020-12-31,44113
2021-01-15,12418
2021-01-19,10285
2021-01-20,6834
2021-01-21,2969
2021-01-22,40
2021-01-25,24002
2021-01-26,20680
2021-01-27,6156
2021-01-28,5685
2021-01-29,12260
2020-12-30,2279
2020-12-31,44113
2021-02-01,12551
2021-02-02,174912
2021-02-03,1634
2021-02-04,22081
2021-02-05,1138
2021-02-08,502
2021-02-09,9220
2021-02-10,4876
2021-02-11,12680
2021-02-12,98103
2020-12-30,2279
2020-12-31,44113
2021-02-17,199231
2021-02-18,1802
2021-02-19,3289
2021-02-22,3151
2021-02-23,1911
2021-02-24,4665
2021-02-25,8528
2021-02-26,3086
2021-02-12,98103
2020-12-30,2279
2020-12-31,44113
2021-03-01,23672
2021-03-02,88253
2021-03-03,2003
2021-03-04,35293
2021-03-05,17040
2021-03-08,14750
2021-03-09,118683
2021-03-10,17252
2021-03-11,2755
2021-03-12,207186
2021-02-12,98103
2020-12-30,2279
2020-12-31,44113
2021-03-15,34981
2021-03-16,114425
2021-03-17,2236
2021-03-18,9366
2021-03-19,4317
2021-03-22,12916
2021-03-23,34360
2021-03-26,2835
2021-03-29,4582
2021-03-30,24033
2021-03-31,6823
2021-04-01,16918
2021-04-05,13205
2021-04-06,4074
2021-04-07,1105
2021-04-09,13574
2021-04-13,2
2021-04-14,32
2021-04-16,90567
2021-04-19,3721
2021-04-20,3100
2021-04-21,1786
2021-04-22,26611
2021-04-23,8896
2021-04-26,1182
2021-04-27,13159
2021-04-28,4375
2021-04-30,22784
2021-05-03,5972
2021-05-04,82017
2021-05-05,1051
2021-05-07,1007
2021-05-10,6693
2021-05-11,1042
2021-05-12,113711
2021-05-13,170465
2021-05-14,35837
2021-04-30,22784
2021-05-17,23163
2021-05-21,15356
2021-05-25,58359
2021-05-26,5510
2021-05-27,2254
2021-05-28,1084
2021-04-30,22784
2021-06-01,6871
2021-06-02,37554
2021-06-03,18970
2021-06-04,18441
2021-06-07,45586
2021-06-08,6404
2021-06-09,6542
2021-06-10,12467
2021-06-11,371
2021-06-14,1823
2021-06-15,740198
2021-06-16,772421
2021-06-17,766542
2021-06-18,1006
2021-06-21,100016
2021-06-22,20100
2021-06-24,80
2021-06-29,13299
2021-06-30,9080
2021-07-01,6107
2021-07-02,5
2021-07-06,14607
2021-07-07,6114
2021-07-08,54919
2021-07-12,108
2021-07-13,1636
2021-07-14,31
2021-06-29,13299
2021-06-30,9080
2021-07-15,848
2021-07-19,100
2021-07-23,1695
2021-07-28,930
2021-07-30,2661
2021-06-30,9080
2021-08-02,5000
2021-08-03,110163
2021-08-04,42176
2021-08-06,1406
2021-08-10,89
2021-08-11,1206
2021-08-12,54882
2021-07-30,2661
2021-06-30,9080
2021-08-16,55
2021-08-17,1615
2021-08-20,3141
2021-08-24,13391
2021-08-25,3833
2021-08-26,5361
2021-08-27,1949
2021-08-30,110
2021-08-31,8188
2021-07-30,2661
2021-06-30,9080
